#,*EventCODE,*EventType,*Action ( Reboot + 3+ shutdown) or Error/Warning/Info/Busy/Idle/Stop,"Response to negative options selected by the user - Cancel, No etc","*SourceComponent , mandatory if Ack is true",Yes/No,High/Medium/Low/None,True/False,EnglishString,Ok-Yes+No-Continue+Stop-Ok+Cancel,Yes/No,EventInfo
#EventId,EventMacro,EventType,ActionTypePositive,ActionTypeNegative,Source,AlarmTone,*LogLevel,UserLog,EventString,GUIEvent,StatusBarIcon,EventInfo
16842753,EVENT_GLOBAL_UNKNOWN_STRING_ID,Warning,,,,,Low,FALSE,Unknown String ID,,,
16842754,EVENT_GLOBAL_ERROR_UNKNOWN_EXCEPTION,Error,,,,,Low,FALSE,,,,
16842755,EVENT_GLOBAL_ERROR_MEMORY_ALLOCATION,Error,,,,,Low,FALSE,,,,
16842756,EVENT_GLOBAL_ERROR_NULL_POINTER,Error,,,,,Low,FALSE,,,,
16842757,EVENT_GLOBAL_ERROR_NOT_NULL_POINTER,Error,,,,,Low,FALSE,,,,
16842758,EVENT_GLOBAL_ERROR_SIGNAL_NOT_CONNECTED,Error,,,,,Low,FALSE,Command or acknowledgement has no receiver (command '%1' - channel '%2'),,,
16842759,EVENT_GLOBAL_ERROR_SIGNAL_SLOT_CONNECT,Error,,,,,Low,FALSE,,,,
16842760,EVENT_GLOBAL_ERROR_SIGNAL_SIGNAL_CONNECT,Error,,,,,Low,FALSE,,,,
16842761,EVENT_GLOBAL_ERROR_INVOKEMETHOD,Error,,,,,Low,FALSE,,,,
16842762,EVENT_GLOBAL_ERROR_READ_CONFIG_FILE,Error,,,,,Low,FALSE,,,,
16842763,EVENT_GLOBAL_ERROR_MONOTONIC_CLOCK,Error,,,,,Low,FALSE,,,,
16842764,EVENT_GLOBAL_ERROR_FALLBACK_LANGUAGE,Error,,,,,Low,FALSE,,,,
16842765,EVENT_GLOBAL_ERROR_FILE_CREATE,Error,,,,,Low,FALSE,,,,
16842766,EVENT_GLOBAL_ERROR_FILE_OPEN,Error,,,,,Low,FALSE,,,,
16842767,EVENT_GLOBAL_ERROR_FILE_REMOVE,Error,,,,,Low,FALSE,,,,
16842768,EVENT_GLOBAL_ERROR_FILE_WRITE,Error,,,,,Low,FALSE,,,,
16842769,EVENT_GLOBAL_ERROR_FILE_FLUSH,Error,,,,,Low,FALSE,,,,
16842770,EVENT_GLOBAL_ERROR_FILE_RENAME,Error,,,,,Low,FALSE,,,,
16842771,EVENT_GLOBAL_ERROR_FILE_SEEK,Error,,,,,Low,FALSE,,,,
16842772,EVENT_GLOBAL_ERROR_TIME_OFFSET_TOO_LARGE,Error,,,,,Low,FALSE,,,,
16842773,EVENT_GLOBAL_ERROR_READING_SERIAL_NUMBER,Error,,,,,Low,FALSE,,,,
16842774,EVENT_GLOBAL_ERROR_COMPUTING_NEW_REF,Error,,,,,Low,FALSE,,,,
16842775,EVENT_GLOBAL_ERROR_SIGNAL_RECEIVED,,,,,,,,,,,
16846848,EVENT_GLOBAL_STRING_ID_DEBUG_MESSAGE,Info,,,,,Low,FALSE,,,,
16846849,EVENT_GLOBAL_STRING_ID_EVTTYPE_UNDEFINED,Info,,,,,Low,FALSE,Undefined Type,,,
16846850,EVENT_GLOBAL_STRING_ID_EVTTYPE_FATAL_ERROR,Error,,,,,Low,FALSE,FatalError,,,
16846851,EVENT_GLOBAL_STRING_ID_EVTTYPE_ERROR,Error,,,,,Low,FALSE,Error,,,
16846852,EVENT_GLOBAL_STRING_ID_EVTTYPE_WARNING,Info,,,,,Low,FALSE,Warning,,,
16846853,EVENT_GLOBAL_STRING_ID_EVTTYPE_INFO,Info,,,,,Low,FALSE,Info,,,
16846854,EVENT_GLOBAL_STRING_ID_EVTTYPE_DEBUG,Info,,,,,Low,FALSE,Debug,,,
16846855,EVENT_GLOBAL_STRING_ID_EVTSTAT_ON,Info,,,,,Low,FALSE,,,,
16846856,EVENT_GLOBAL_STRING_ID_EVTSTAT_OFF,Info,,,,,Low,FALSE,,,,
16846857,EVENT_GLOBAL_STRING_TERMINATING,Info,,,,,Low,FALSE,,,,
16846858,EVENT_GLOBAL_SET_DATE_TIME,Info,,,,,Low,FALSE,,,,
16846859,EVENT_GLOBAL_CURRENT_TIME_OFFSET,Info,,,,,Low,FALSE,,,,
16846860,EVENT_GLOBAL_POWER_FAIL,Info,,,,,Low,FALSE,,,,
16908286,EVENT_GLOBAL_DUMMY_ERROR,Error,,,,,Low,FALSE,,,,
16908287,EVENT_GLOBAL_UNDEFINED,Info,,,,,Low,FALSE,,,,
16908289,EVENT_THREADS_ERROR_MASTERTHREAD_STARTUP,Error,,,,,Low,FALSE,,,,
16908290,EVENT_THREADS_ERROR_THREAD_STOP_ARGS,Error,,,,,Low,FALSE,,,,
16908291,EVENT_THREADS_ERROR_NO_HEARTBEAT,Error,,,,,Low,FALSE,,,,
16908292,EVENT_THREADS_INFO_NO_HEARTBEAT_CHECKING,Info,,,,,Low,FALSE,,,,
16908293,EVENT_THREADS_ERROR_UNKNOWN_HEARTBEAT,Error,,,,,Low,FALSE,,,,
