#*TheardId,*ThreadMacro,*ThreadName,"*Action (Log + Restart, Log+shutdown)",*WaitDurationInHeartBeatTick
#ThreadId,ThreadMacro,ThreadName,ActionType,3
1,THREAD_ID_MASTERTHREAD,Master Thread,Shutdown,3
2,THREAD_ID_DATALOGGING,Data Logging Thread,Restart,3
3,THREAD_ID_EVENTHANDLER,Event Handler Thread,Restart,3
4,THREAD_ID_GPIO_MANAGER,GPIO Thread,Restart,3
5,THREAD_ID_REMOTECARE,RemoteCare Thread,Restart,3
6,THREAD_ID_HEARTBEAT,HeartBeat Controller Thread,Shutdown,3
257,THREAD_ID_DEVICECMDPROC,DeviceCommandProcessor Thread,Restart,3
258,THREAD_ID_GUI,Gui Thread,Restart,3
259,THREAD_ID_SCHEDULER,Scheduler Thread,Restart,3
260,THREAD_ID_IMPORTEXPORT,Import-Export Thread,Restart,3
261,THREAD_ID_EXPORT,ExportController Thread,Restart,3
262,THREAD_ID_SEPIA,Sepia Thread,Restart,3
263,THREAD_ID_BLG,BLGController Thread,Restart,3
